ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
183,1638.7,5000,244789,1499,14,29,170,6,11,1100
184,6366.5,5403.9,88565,1198,7,28,162,6,8,1950
185,5950,4626.6,51169,996,7,23,281,6,5,2700
186,8330,6587,298075,999,14,20,155,3,10,3800
187,4165,4233,205269,1910,17,24,76,3,10,1450
188,9401,7601,29694,999,14,8,275,6,2,3800
189,8092,15966,201376,999,7,32,277,3,9,1950
191,5950,13000,124007,1364,14,24,76,6,7,1800
192,5712,10000,101698,1598,7,23,253,6,9,800
193,4760,8487.4,151497,1997,14,25,26,3,11,750
194,5226.249438,3712.2,57424,1242,17,9,164,6,6,4150
195,13804,10342.4,42805,1197,7,26,249,6,3,5700
196,7497,7180.5,110241,1992,17,20,48,3,9,2750
198,3570,4775,157658,1390,14,32,282,6,14,775
199,6783,4261,118881,1390,7,28,304,6,7,2000
200,10234,10413.4,81690,1390,7,27,203,6,4,2200
201,7735,6233.2,123718,1598,19,24,76,6,7,3100
203,2975,5030.3,167736,1364,14,24,132,6,11,900
204,4641,6800,310663,1896,17,32,264,3,11,1850
205,8500.051,10690,14243,999,7,24,138,6,2,3150
206,6282.532278,5927,133991,999,17,32,183,3,9,3700
207,6100,9688,34719,999,14,8,165,6,6,2300
208,4165,3224,73899,1242,17,8,275,6,10,1300
209,6069,7915,69601,1149,17,26,127,6,7,1700
210,5117,4268.2,132836,1596,14,9,166,6,11,1900
213,5117,5007.2,108642,998,7,31,86,6,8,1450
215,3729.658333,3771.7,164601,1086,7,11,382,6,7,850
218,12495,11231,204740,999,7,20,155,6,9,4500
219,7021,6066,176583,1896,7,32,113,3,7,2300
220,4879,2655,104245,1360,7,25,17,6,10,2050
221,3632.5226,6042.3,120070,1598,7,32,347,6,10,2200
222,1.19,7840,79280,1339,7,10,210,6,10,2050
223,5712,4342.8,181247,1598,17,26,244,6,9,2100
224,8449,7689.6,46115,1368,7,8,288,6,5,3150
225,4663.6933,20872,104694,1992,17,20,48,3,10,2200
226,10353,11795.6,187116,2494,17,2,38,6,12,4050
227,6307,4522.1,30776,1149,9,26,352,6,6,2400
228,4998,14650,219958,1968,7,1,54,3,12,2500
229,10168.1,16056.7,16967,1398,17,24,138,6,0,5000
230,4879,10000,250693,2993,7,2,23,3,13,900
232,9163,11700,89074,1997,7,25,37,3,9,1950
233,11764.7,13042,9425,1461,7,7,150,3,2,4800
234,5950,5066.4,101054,1586,7,30,336,6,8,3500
235,11764.7,13391.7,27866,1560,7,9,349,3,2,5300
236,7140,7781.4,110719,1598,7,19,23,6,8,1750
237,6664,6329.2,128935,1390,7,32,183,6,9,2350
238,7021,15764.7,265933,1995,14,2,23,3,11,3400
240,4165,4575,133698,998,7,31,86,6,9,1350
242,9401,13000,133097,1598,7,32,282,3,6,1550
243,11305,9724.4,112949,1598,7,28,304,3,5,4500
244,10115,5612,58690,1390,7,32,282,6,6,4350
245,14599.991,15537,41939,999,7,32,183,6,5,4100
246,4938.5,9065.5,148851,1796,7,24,76,6,11,1700
247,6664,5420.2,191767,1686,17,24,76,3,7,2750
